id,word,pos,uk,us,meaning,file
016056,troubling,adj.,ˈtrʌb.lɪŋ,ˈtrʌb.lɪŋ,adj.令人烦恼的，令人不安的；v.使烦恼，使不安（trouble的现在分词形式）,C:\GTT\EnglishDB\Words\t\troubling.md
016057,black-and-white,adj.,blækændˈwaɪt,blækəndˈwaɪt,adj. 黑白的；明辨是非的；n. 黑白片；黑白两色；adv. 明确地；毫不含糊地,C:\GTT\EnglishDB\Words\b\black-and-white.md
016058,hiring,n.,ˈhaɪrɪŋ,ˈhaɪrɪŋ,n.雇用；招聘；聘用,C:\GTT\EnglishDB\Words\h\hiring.md
016059,enhanced,adj.,ɪnˈhɑːnsd,ɪnˈhænsd,adj.增强的；提高的；放大的,C:\GTT\EnglishDB\Words\e\enhanced.md
016060,nineteenth-century,,ˌnainˈti:nθ ˈsentʃərɪ,,形容词，表示十九世纪的，指发生在公元1801年至1900年这一历史时期的,C:\GTT\EnglishDB\Words\n\nineteenth-century.md
016061,convicted,adj.,kənˈvɪktɪd,kənˈvɪktɪd,adj.有罪的，被判罪的；确信的,C:\GTT\EnglishDB\Words\c\convicted.md
016062,Lebanese,n.,leɪˈbiːnɪz,leɪˈbiːnɪz,n.黎巴嫩人；a.黎巴嫩的；黎巴嫩人的,C:\GTT\EnglishDB\Words\l\lebanese.md
016063,Methodist,n.,ˈmɛθədɪst,ˈmɛðədɪst,n.循道宗信徒，卫理公会信徒；循规蹈矩的人,C:\GTT\EnglishDB\Words\m\methodist.md
016064,low-fat,,ləʊˈfæt,loʊˈfæt,形容词。低脂肪的；低脂的。常用于描述食品中含有较少的脂肪成分，通常被认为更健康。,C:\GTT\EnglishDB\Words\l\low-fat.md
016065,long-distance,,ˈlɒŋ.dɪs.təns,ˈlɔŋ.dɪs.təns,形容词，表示长途的，远距离的,C:\GTT\EnglishDB\Words\l\long-distance.md
016066,dealings,n.,ˈdiːlɪŋz,ˈdiːlɪŋz,n.交易; 买卖;（与某人的）关系; 交往（deal的复数形式）,C:\GTT\EnglishDB\Words\d\dealings.md
016067,sliced,adj.,slaɪst,slaɪst,adj. 已切成薄片的,C:\GTT\EnglishDB\Words\s\sliced.md
016068,IQ,n.,ˌaɪ ˈkjuː,ˌaɪ ˈkjuː,n.智商；智力商数,C:\GTT\EnglishDB\Words\i\iq.md
016069,Kurdish,adj.,ˈkɜːdɪʃ,ˈkɜːrdɪʃ,adj.库尔德人的；库尔德语的；库尔德文化的 n.库尔德语,C:\GTT\EnglishDB\Words\k\kurdish.md
016070,roasted,adj.,ˈrəʊstɪd,ˈroʊstɪd,adj.烤的；烘烤的；烤制的,C:\GTT\EnglishDB\Words\r\roasted.md
016071,Hawaiian,adj.,həˈwaɪən,həˈwaɪən,adj.夏威夷的；夏威夷人的；n.夏威夷人；夏威夷语,C:\GTT\EnglishDB\Words\h\hawaiian.md
016072,Texan,n.,ˈteksn,ˈteksn,n.得克萨斯州人；得克萨斯州的,C:\GTT\EnglishDB\Words\t\texan.md
016073,twenty-four,,ˈtwenti fɔː(r),ˈtwenti fɔːr,二十四,C:\GTT\EnglishDB\Words\t\twenty-four.md
016074,HMO,abbr.,,,abbr. 健康维护组织（Health Maintenance Organization）,C:\GTT\EnglishDB\Words\h\hmo.md
016075,jersey,n.,ˈdʒɜːzi,ˈdʒɜːrzi,n. 运动衫；毛线衫；泽西岛,C:\GTT\EnglishDB\Words\j\jersey.md
016076,working-class,adj.,ˈwɜːkɪŋ klɑːs,ˈwɜːrkɪŋ klæs,adj.工人阶级的；劳动阶级的,C:\GTT\EnglishDB\Words\w\working-class.md
016077,lobbying,n.,ˈlɒbiɪŋ,ˈlɑːbiɪŋ,n.游说活动 v.进行游说（lobby 的现在分词）,C:\GTT\EnglishDB\Words\l\lobbying.md
016078,recruiting,n.,rɪˈkruːtɪŋ,rɪˈkruːtɪŋ,n.招聘；招募 v.招聘；招募（recruit 的现在分词）,C:\GTT\EnglishDB\Words\r\recruiting.md
016079,baked,adj.,beɪkt,beɪkt,adj. 烤的；烘焙的,C:\GTT\EnglishDB\Words\b\baked.md
016080,Episcopal,adj.,ɪˈpɪskəpl,ɪˈpɪskəpl,adj.主教的；英国国教的；主教管辖的,C:\GTT\EnglishDB\Words\e\episcopal.md
016081,revised,adj.,rɪˈvaɪzd,rɪˈvaɪzd,adj. 经过修订的；改进的；v. 修订；修正；复习（revise 的过去分词）,C:\GTT\EnglishDB\Words\r\revised.md
016082,functioning,n.,ˈfʌŋkʃənɪŋ,ˈfʌŋkʃənɪŋ,n.运行；运转；功能；机能；起作用；正常工作；函数运算 v.运转；起作用；正常工作；行使职责；操作,C:\GTT\EnglishDB\Words\f\functioning.md
016083,Shiite,n.,ˈʃiːaɪt,ˈʃiːaɪt,n.什叶派（教徒）,C:\GTT\EnglishDB\Words\s\shiite.md
016084,twisted,adj.,ˈtwɪstɪd,ˈtwɪstɪd,adj.扭曲的；弯曲的；怪僻的；变态的,C:\GTT\EnglishDB\Words\t\twisted.md
016085,attempted,adj.,əˈtemptɪd,əˈtemptɪd,adj.企图的；未遂的,C:\GTT\EnglishDB\Words\a\attempted.md
016086,computerized,adj.,kəmˈpjuːtəraɪzd,kəmˈpjuːtəraɪzd,adj.计算机化的；电脑化的,C:\GTT\EnglishDB\Words\c\computerized.md
016087,brand-new,adj.,ˌbrænd ˈnjuː,ˌbrænd ˈnuː,adj.全新的；崭新的,C:\GTT\EnglishDB\Words\b\brand-new.md
016088,GDP,,ˌdʒiːˈdiːˈpiː,ˌdʒiːˈdiːˈpiː,缩写. 国内生产总值；国内总收入,C:\GTT\EnglishDB\Words\g\gdp.md
016089,face-to-face,,ˈfeɪs.tuː ˈfeɪs,,面对面的，直接的；个人之间的，不借助中介的,C:\GTT\EnglishDB\Words\f\face-to-face.md
016090,chilling,adj.,ˈtʃɪlɪŋ,ˈtʃɪlɪŋ,adj.令人感到寒冷的；令人震惊的；令人恐惧的,C:\GTT\EnglishDB\Words\c\chilling.md
016091,saut��,,,,抱歉，未查询到\'saut��\'这个单词的相关信息，您是否输入有误？,C:\GTT\EnglishDB\Words\s\saut__.md
016092,Kurd,n.,kɜːd,kɜːrd,n.库尔德人,C:\GTT\EnglishDB\Words\k\kurd.md
016093,Syrian,adj.,ˈsɪriən,ˈsɪriən,adj.叙利亚的；叙利亚人的；n.叙利亚人,C:\GTT\EnglishDB\Words\s\syrian.md
016094,gleaming,adj.,ˈgliːmɪŋ,ˈɡliːmɪŋ,adj. 闪闪发光的；明亮的；v. 闪烁；闪现（gleam 的现在分词）,C:\GTT\EnglishDB\Words\g\gleaming.md
016095,pricing,n.,ˈpraɪsɪŋ,ˈpraɪsɪŋ,n.定价；作价；价格制定,C:\GTT\EnglishDB\Words\p\pricing.md
016096,fines,n.,faɪnz,faɪnz,n.罚款；罚金；细微颗粒（fine 的复数）v.使精细；变好；处...以罚金（fine 的第三人称单数）,C:\GTT\EnglishDB\Words\f\fines.md
016097,Dominican,n.,dəˈmɪnɪkən,dəˈmɪnɪkən,n. 多米尼加人；adj. 多米尼加的,C:\GTT\EnglishDB\Words\d\dominican.md
016098,Turk,n.,tɜːk,tɜːrk,n.土耳其人；土耳其马,C:\GTT\EnglishDB\Words\t\turk.md
016099,co-founder,n.,ˌkəʊ ˈfaʊndə(r),,n.共同创立者，共同创始人,C:\GTT\EnglishDB\Words\c\co-founder.md
016100,heightened,v.,ˈhaɪtnd,ˈhaɪtnd,v.（使）加强，提高，增加( heighten 的过去式和过去分词 ),C:\GTT\EnglishDB\Words\h\heightened.md
016101,structured,adj.,ˈstrʌktʃəd,ˈstrʌktʃərd,adj.有结构的；有条理的；有组织的,C:\GTT\EnglishDB\Words\s\structured.md
016102,low-cost,adj.,ˌləʊ ˈkɒst,ˌloʊ ˈkɔːst,adj. 低成本的；价格低廉的,C:\GTT\EnglishDB\Words\l\low-cost.md
016103,Thai,n.,taɪ,taɪ,n.泰国人；泰语 adj.泰国的；泰语的,C:\GTT\EnglishDB\Words\t\thai.md
016104,high-level,adj.,ˈhaɪ.lɛvəl,ˈhaɪ.lɛvəl,adj. 高级的；高层的；高水平的,C:\GTT\EnglishDB\Words\h\high-level.md
016105,crushed,adj.,krʌʃt,krʌʃt,adj.被压碎的；被粉碎的；被摧毁的（crush的过去式及过去分词形式）,C:\GTT\EnglishDB\Words\c\crushed.md
016106,pry,vt.,praɪ,praɪ,"vt.窥探,探听;撬开vi.窥探,刺探",C:\GTT\EnglishDB\Words\p\pry.md
016107,guided,adj.,ˈɡaɪdɪd,ˈɡaɪdɪd,adj.有指导的；受指导的；被引导的；被带领的（指人或事物处于被指导、被引导的状态）；n.导游（专指带领游客参观的人员）；v.引导，指导（guide的过去式和过去分词形式）,C:\GTT\EnglishDB\Words\g\guided.md
016108,salsa,n.,ˈsɑːlsə,ˈsælsə,n.萨尔萨舞；萨尔萨酱；一种流行于拉丁美洲的舞蹈和音乐形式；(一种由番茄、辣椒等制成的)调味酱,C:\GTT\EnglishDB\Words\s\salsa.md
016109,decision-making,n.,dɪˈsɪʒn.meɪkɪŋ,dɪˈsɪʒn.mেɪkɪŋ,n.决策，决定的过程（尤其指重要或困难的决定）,C:\GTT\EnglishDB\Words\d\decision-making.md
016110,hand-held,adj.,\'hænd.held,\'hænd.hɛld,adj.手持的，便携式的（通常指设备或工具，表明其设计目的是为了方便携带和使用）,C:\GTT\EnglishDB\Words\h\hand-held.md
016111,entrepreneurial,,ˌɒn.trə.prəˈnɜːr.əl,ˌɛn.trə.prəˈnɜr.i.əl,企业家精神的；具有创业精神的,C:\GTT\EnglishDB\Words\e\entrepreneurial.md
016112,starving,adj.,ˈstɑːvɪŋ,ˈstɑːrvɪŋ,adj. 饥饿的；饿得要死的；非常渴望的,C:\GTT\EnglishDB\Words\s\starving.md
016113,three-quarters,n.,θriːˈkwɔːrtəz,θriːˈkwɔrtərz,n.三分之二；三个季度的时间或距离,C:\GTT\EnglishDB\Words\t\three-quarters.md
016114,stuffed,adj.,stʌft,stʌft,adj.填满的，塞满的；n.填充物，填料；v.把\...塞满（stuff的过去式和过去分词）,C:\GTT\EnglishDB\Words\s\stuffed.md
016115,exceptionally,,ɪkˈsepʃən.ə.lɪ,ɪkˈsepʃən.ə.li,副词，意为\'异常地；特别地；格外；罕见地\',C:\GTT\EnglishDB\Words\e\exceptionally.md
016116,recorded,adj.,rɪˈkɔːdɪd,rɪˈkɔrdɪd,adj. 记录下来的；被录音的（record的过去分词）,C:\GTT\EnglishDB\Words\r\recorded.md
016117,Lutheran,adj.,ˈluːðərən,ˈlutherən,adj.路德教的；n.路德教信徒,C:\GTT\EnglishDB\Words\l\lutheran.md
016118,hired,adj.,ˈhʌɪəd,ˈhaɪrd,adj. 受雇的，被雇佣的；v. 雇用（hire的过去式和过去分词形式）,C:\GTT\EnglishDB\Words\h\hired.md
016119,president-elect,n.,prezɪd(ə)ntˈɪlekt,prezɪdəntˈɪlekt,n.当选总统，候任总统（指已当选但尚未就职的美国总统）,C:\GTT\EnglishDB\Words\p\president-elect.md
016120,thirty-five,num.,ˈθɜːti ˌfaɪv,ˈθɜr ti ˌfaɪv,num.三十五，三十加五，位于三十四与三十六之间的自然数,C:\GTT\EnglishDB\Words\t\thirty-five.md
016121,anticipated,,ˌæntɪˈsɪpɪtɪd,ˌæntɪˈsɪpeɪtɪd,被预期的；被期望的（anticipate的过去分词形式）,C:\GTT\EnglishDB\Words\a\anticipated.md
016122,same-sex,,"\'sɛm, \'sekｓ","\'sɛm, \'sɛks",形容词，表示同一性别的，通常用于指代相同性别的恋爱情况或婚姻，如同性恋或同性婚姻,C:\GTT\EnglishDB\Words\s\same-sex.md
016123,Navajo,,nəˈvɑː.hoʊ,nəˈvɑː.hoʊ,纳瓦霍人；纳瓦霍语。纳瓦霍族是美国的一个美洲原住民部落，主要居住在纳瓦霍保留地，位于美国西南部，横跨亚利桑那州、新墨西哥州和犹他州的部分地区。纳瓦霍语是一种属于阿萨巴斯卡语系的语言。,C:\GTT\EnglishDB\Words\n\navajo.md
016124,three-dimensional,,ˌθriː.dɪ-menˈʃə.nəl,ˌθri.dɪˈmen.ʃə.nəl,形容词，三维的；立体的；具有三个维度的,C:\GTT\EnglishDB\Words\t\three-dimensional.md
016125,Presbyterian,n.,presˈbɪtərɪən,presˈbɪtərɪən,n.长老会教友；长老制信徒 adj.长老会的；长老制的,C:\GTT\EnglishDB\Words\p\presbyterian.md
016126,inner-city,adj.,ˈɪnər ˈsɪti,ˈɪnər ˈsɪti,adj.城市中心的，市区内的；指城市中通常较贫穷且问题较多的中心区域,C:\GTT\EnglishDB\Words\i\inner-city.md
016127,dangerously,,ˈdeɪndʒərəsli,ˈdeɪndʒərəsli,副词，危险地，不安全地；极其严重地,C:\GTT\EnglishDB\Words\d\dangerously.md
016128,all-purpose,adj.,ɔːlˈpɜːpəs,ɔlˈpɜːrpəs,adj.多用途的，通用的,C:\GTT\EnglishDB\Words\a\all-purpose.md
016129,first-time,adj.,fɜːrstˈtaɪm,fɜːrstˈtaɪm,adj.首次的；第一次的（表示某事是第一次发生或某人第一次经历）,C:\GTT\EnglishDB\Words\f\first-time.md
016130,stunned,adj.,stʌndɪd,stʌndɪd,adj.目瞪口呆的；震惊的；昏迷的,C:\GTT\EnglishDB\Words\s\stunned.md
016131,mogul,n.,ˈmɒɡəl,ˈmɑːɡəl,n.印度莫卧儿帝国的皇帝；有权势的大亨，巨头,C:\GTT\EnglishDB\Words\m\mogul.md
016132,in-depth,adj.,ˈɪn.dept,ˈɪn.dɛpθ,adj.深入的，透彻的；详尽的，细致的,C:\GTT\EnglishDB\Words\i\in-depth.md
016133,differing,adj.,ˈdɪ.fər.ɪŋ,ˈdɪ.fər.ɪŋ,adj.不同的，有差异的；变化的,C:\GTT\EnglishDB\Words\d\differing.md
016134,high-risk,adj.,haɪ-ˈrɪsk,haɪ-ˈrɪsk,adj. 高风险的，有高度危险的,C:\GTT\EnglishDB\Words\h\high-risk.md
016135,recycled,adj.,ˈriːsaɪkld,ˈrisaɪkld,adj. 再循环的；回收利用的；v. recycle（再利用，循环使用）的过去式和过去分词,C:\GTT\EnglishDB\Words\r\recycled.md
016136,cross-country,adj.,krɒs-ˈkʌn.trɪ,krɔs-ˈkʌn.tri,adj.跨国家的，横穿全国的；n.越野赛跑，越野滑雪,C:\GTT\EnglishDB\Words\c\cross-country.md
016137,co-op,n.,koʊˈɒp,koʊˈɑp,n.合作社，合作商店；合作公寓adj.合作的,C:\GTT\EnglishDB\Words\c\co-op.md
016138,high-end,,haɪ ˈend,haɪ ˈɛnd,形容词，高级的；顶级的；高端的,C:\GTT\EnglishDB\Words\h\high-end.md
016139,participating,,pɑːtɪˈsɪpɪteɪtɪŋ,pɑr-tɪ-sɪ-peɪt-ɪŋ,参与的；介入的；（语法上指）分词的（现在分词或过去分词）,C:\GTT\EnglishDB\Words\p\participating.md
016140,long-range,adj.,lɒŋˈrɑːndʒ,lɔŋˈrændʒ,adj. 长距离的，远距离的；长期的，长远的,C:\GTT\EnglishDB\Words\l\long-range.md
016141,ooh,,,,叹.哎哟(表示惊讶、喜悦等),C:\GTT\EnglishDB\Words\o\ooh.md
016142,Judaism,n.,ˈdʒuː.də.zəm,ˈdʒu.də.zəm,n.犹太教；犹太教信仰,C:\GTT\EnglishDB\Words\j\judaism.md
016143,midwestern,adj.,",mɪdˈwestərn",",mɪdˈwɛstərn",adj.美国中西部的；中西部特征的；n.美国中西部地区的人；中西部题材的电影或小说,C:\GTT\EnglishDB\Words\m\midwestern.md
016144,on-site,,ˈɒn.sait,ˈɑnˌsaɪt,在现场的；实地的；adj. 在场的，现场的,C:\GTT\EnglishDB\Words\o\on-site.md
016145,guaranteed,adj.,ˌɡærənˈtiːd,ˌɡærənˈtɪd,adj.有保证的；受保障的；确保的,C:\GTT\EnglishDB\Words\g\guaranteed.md
016146,ballpark,n.,ˈbɔːlpɑrk,ˈbɔːrlpɑrk,n.棒球场；大致的范围或估计；adj.大致的；近似的,C:\GTT\EnglishDB\Words\b\ballpark.md
016147,peacefully,adv.,ˈpiːs.fə.li,ˈpis.fəl.i,adv.和平地；宁静地；平静地,C:\GTT\EnglishDB\Words\p\peacefully.md
016148,lifting,n.,ˈlɪftɪŋ,ˈlɪf.tɪŋ,n. 提升，上升；举起的行为或实例 使上升或提高的动作 adj. 提升的，上升的；令人振奋的,C:\GTT\EnglishDB\Words\l\lifting.md
016149,one-year,,wʌn-jɪə(r),wʌn-jer,形容词. 持续一年的；一年期的；一年生的（指植物）,C:\GTT\EnglishDB\Words\o\one-year.md
016150,last-minute,adj.,lɑːst ˈmɪnɪt,læst ˈmɪnɪt,adj. 最后一分钟的，紧急关头的；n. 最后一刻，紧急关头,C:\GTT\EnglishDB\Words\l\last-minute.md
016151,Indonesian,adj.,ˌɪndəʊˈniːziən,ˌɪndoʊˈniːʒən,adj. 印度尼西亚的；印度尼西亚人的 n. 印度尼西亚人,C:\GTT\EnglishDB\Words\i\indonesian.md
016152,open-ended,adj.,ˈəʊpən ˈendɪd,ˈoʊpən ˈɛndɪd,adj. 开放式的；无限制的；无固定答案的,C:\GTT\EnglishDB\Words\o\open-ended.md
016153,Finn,n.,fɪn,fɪn,n.芬恩（男子名）,C:\GTT\EnglishDB\Words\f\finn.md
016154,award-winning,adj.,əˈwɔːrd ˈwɪnɪŋ,əˈwɔrd ˈwɪnɪŋ,adj. 获奖的；得奖的；赢得奖项的,C:\GTT\EnglishDB\Words\a\award-winning.md
016155,Martian,n.,ˈmɑːʃən,ˈmɑːrʃən,n.火星人；adj.火星的，来自火星的,C:\GTT\EnglishDB\Words\m\martian.md
016156,twenty-two,num.,ˈtwɛnti tuː,ˈtwɛnti tu,num.二十二；二十二个,C:\GTT\EnglishDB\Words\t\twenty-two.md
016157,Haitian,n.,heɪˈtiːən,heɪˈtiːən,n.海地人；adj.海地的,C:\GTT\EnglishDB\Words\h\haitian.md
016158,advancing,adj.,ədˈvænsɪŋ,ədˈvænsɪŋ,adj. 前进的，进步的；adv. 前进地，进步地；v. 前进，进步（advance 的现在分词形式）,C:\GTT\EnglishDB\Words\a\advancing.md
016159,ex-wife,n.,ˌɛks ˈwaɪf,ˌɛks ˈwaɪf,n.前妻,C:\GTT\EnglishDB\Words\e\ex-wife.md
016160,limo,n.,ˈlaɪmoʊ,ˈlaɪmoʊ,n.豪华轿车（limousine的缩写）,C:\GTT\EnglishDB\Words\l\limo.md
016161,burgeoning,adj.,ˈbɜːdʒənɪŋ,ˈbɜːrdʒənɪŋ,adj. 迅速发展的；蓬勃兴起的,C:\GTT\EnglishDB\Words\b\burgeoning.md
016162,world-class,adj.,wɜːld klɑːs,wɜːrld klæs,adj.世界级的；世界一流的；世界水平的,C:\GTT\EnglishDB\Words\w\world-class.md
016163,twenty-one,num.,ˈtwenti wʌn,ˈtwenti wʌn,num.二十一；二十一点（纸牌游戏）,C:\GTT\EnglishDB\Words\t\twenty-one.md
016164,cloning,n.,ˈkləʊnɪŋ,ˈkloʊnɪŋ,n. 克隆，无性繁殖；复制,C:\GTT\EnglishDB\Words\c\cloning.md
016165,networking,n.,ˈnɛtwɜːkɪŋ,ˈnɛtˌwɜrkɪŋ,n. 网络化；网络构建；网络活动（尤指社交活动）,C:\GTT\EnglishDB\Words\n\networking.md
016166,Cherokee,n.,tʃəˈroʊki,tʃəˈroʊki,n. 切罗基人（北美印第安人之一）；切罗基语,C:\GTT\EnglishDB\Words\c\cherokee.md
016167,caring,adj.,ˈkeərɪŋ,ˈkerɪŋ,adj. 关心的，体贴的；有同情心的；有感情的；有爱心的；n. 关心，照顾（care的现在分词形式）,C:\GTT\EnglishDB\Words\c\caring.md
016168,self-determination,n.,ˌself dɪˌtɜːmɪˈneɪʃən,,n. 自我决定；自决权；自主权,C:\GTT\EnglishDB\Words\s\self-determination.md
016169,one-half,n.,wʌn hæf,wʌn hæf,n. 二分之一；一半,C:\GTT\EnglishDB\Words\o\one-half.md
016170,asshole,n.,ˈæshoʊl,ˈæshoʊl,n. 肛门；讨厌的人；蠢货（粗俗用语）,C:\GTT\EnglishDB\Words\a\asshole.md
016171,one-way,adj.,wʌn weɪ,wʌn weɪ,adj. 单向的；单程的；单方面的,C:\GTT\EnglishDB\Words\o\one-way.md
016172,state-of-the-art,adj.,ˈsteɪt əv ði ɑːrt,,adj. 最先进的；最高级的；最高水准的 n. 最先进的技术；最高级的设备,C:\GTT\EnglishDB\Words\s\state-of-the-art.md
016173,man-made,adj.,ˌmænˈmeɪd,ˌmænˈmeɪd,adj.人造的，人工的；合成的,C:\GTT\EnglishDB\Words\m\man-made.md
016174,medium-high,adj.,ˌmiːdiəm ˈhaɪ,ˌmiːdiəm ˈhaɪ,adj. 中等高度的；中高音的,C:\GTT\EnglishDB\Words\m\medium-high.md
016175,forty-five,n.,ˈfɔːti faɪv,ˈfɔrti faɪv,n.四十五,C:\GTT\EnglishDB\Words\f\forty-five.md
016176,tangled,adj.,ˈtæŋɡld,ˈtæŋɡld,adj.纠缠的；混乱的；缠结在一起的,C:\GTT\EnglishDB\Words\t\tangled.md
016177,cut-off,n.,ˈkʌt ɒf,ˈkʌt ɑf,"n.切断,中断;解雇 a.中断的,隔断的",C:\GTT\EnglishDB\Words\c\cut-off.md
016178,one-on-one,,wʌn-ɒn-wʌn,wʌn-ɑn-wʌn,一对一的，指两个人之间的直接交流或竞争,C:\GTT\EnglishDB\Words\o\one-on-one.md
016179,televised,,ˈtelɪvaɪzd,ˈtelɪˌvaɪzd,被电视转播的；通过电视传播的,C:\GTT\EnglishDB\Words\t\televised.md
016180,best-known,,best-ˈnəʊn,best-ˈnoʊn,最知名的，最为人知的（通常是形容人或事物在某一领域或范围内享有最高声誉或最大知名度）,C:\GTT\EnglishDB\Words\b\best-known.md
016181,two-way,,ˈtuː.weɪ,ˈtuː.weɪ,双向的；两种方式的（形容词），指事物可以以两种不同的方法或方向进行或被理解,C:\GTT\EnglishDB\Words\t\two-way.md
016182,generating,,ˈdʒenəreɪtɪŋ,ˈdʒenəreɪtɪŋ,生成，产生（正在发生的过程或动作）；例：They are generating new ideas for the project.（他们正在为项目产生新的想法。）,C:\GTT\EnglishDB\Words\g\generating.md
016183,CD-ROM,,ˈsiː.dɪː.rom,ˈsiː.dɪː.rom,CD-ROM是一种存储介质，全称是Compact Disc Read-Only Memory，即只读型光盘，用于存储数字数据，通常在计算机上使用,C:\GTT\EnglishDB\Words\c\cd-rom.md
016184,self-confidence,n.,selˈf.kɒnfɪd(ə)ns,ˈsɛlfˈkɑnd.fɪd.əns,n.自信；自信心,C:\GTT\EnglishDB\Words\s\self-confidence.md
016185,late-night,adj.,leɪtˈnaɪt,letˈnaɪt,adj. 深夜的，晚间的；n. 深夜节目（或广播）,C:\GTT\EnglishDB\Words\l\late-night.md
016186,licensing,n.,ˈlaɪsnsɪŋ,ˈlaɪsnsɪŋ,n. 发牌；发许可证；批准；授权 v. 许可；批准；发许可证（license的ing形式）,C:\GTT\EnglishDB\Words\l\licensing.md
016187,close-up,n.,kləʊsˈʌp,klosˈʌp,n. 特写镜头；近距离拍摄；详细检查；详述 adj. 近距离的；仔细观察的；特写的 v. 对\...作详细审视（close up的变形）,C:\GTT\EnglishDB\Words\c\close-up.md
016188,stained,adj.,steɪnd,stend,adj.有污点的，被玷污的；v.沾污，染色（stain的过去式和过去分词形式）,C:\GTT\EnglishDB\Words\s\stained.md
016189,prescribed,adj.,prɪˈskraɪbd,prɪˈskraɪbd,adj. 开处方的；已开处方的；指定的；规定的（prescribe的过去式及过去分词形式）,C:\GTT\EnglishDB\Words\p\prescribed.md
016190,twenty-first,,ˈtwɛnti ˈfɜːst,,序数词，表示第二十一的,C:\GTT\EnglishDB\Words\t\twenty-first.md
016191,uniformed,,juːˈfɔːm.ɪd,juˈfɔrmɪd,穿着制服的；被赋予某种地位或身份的（通常用于描述警察、军人等穿着特定制服的人）,C:\GTT\EnglishDB\Words\u\uniformed.md
016192,pioneering,adj.,ˌpaɪ.oˈnɪər.ɪŋ,ˌpaɪ.əˈnɪr.ɪŋ,adj. 先驱的；开创性的；先锋的 n\. 先驱者；开拓者；创新者,C:\GTT\EnglishDB\Words\p\pioneering.md
016193,postseason,n.,ˌpəʊstˈsiːzn,ˌpoʊstˈsiːzən,n.赛季后比赛（如季后赛等）,C:\GTT\EnglishDB\Words\p\postseason.md
016194,recurring,adj.,rɪˈkɜːrɪŋ,rɪˈkɜːrɪŋ,adj. 反复发生的，定期重复的（指事物不断地重新出现或发生）,C:\GTT\EnglishDB\Words\r\recurring.md
016195,prom,n.,prəʊm,proʊm,n.承诺；约定，前景；\<美>（中学的）毕业舞会；有希望的人或物；vt.许诺；显示...的希望；adj.有希望的,C:\GTT\EnglishDB\Words\p\prom.md
016196,occupied,adj.,ˈɒkjʊpaɪd,ˈɑːkjəˌpaɪd,adj.被占用的，忙碌的，被占领的；vt.占据，使忙碌，占用,C:\GTT\EnglishDB\Words\o\occupied.md
016197,self-conscious,adj.,selˈkɒnʃəs,ˈsɛlfˈkɑnʃəs,adj.有自知之明的；自觉的；羞涩的，不自然的,C:\GTT\EnglishDB\Words\s\self-conscious.md
016198,transnational,adj.,transnaʃənl,transnæʃənl,adj.跨国的，跨越国家的；国际间的,C:\GTT\EnglishDB\Words\t\transnational.md
016199,darkened,v.,ˈdɑːk.nɪ.d,ˈdɑːr.kənd,v. 变暗（dark 的过去式及过去分词形式）；adj. 变暗的，昏暗的（dark 的过去分词用作形容词时）,C:\GTT\EnglishDB\Words\d\darkened.md
016200,ensuing,adj.,ɪnˈsuː.ɪŋ,ɪnˈsuː.ɪŋ,adj.随之发生的；接着的；作为结果的,C:\GTT\EnglishDB\Words\e\ensuing.md
016201,ethnographic,,ˌetnəˈgræfɪk,ˌetnəˈgræfɪk,与人种学有关的，人类学的，用于描述涉及详细记录不同民族或文化群体生活方式和习俗的内容,C:\GTT\EnglishDB\Words\e\ethnographic.md
016202,good-looking,adj.,ˈɡʊd.lʊk.ɪŋ,ˈɡʊd.lʊk.ɪŋ,adj.好看的，漂亮的,C:\GTT\EnglishDB\Words\g\good-looking.md
016203,light-year,,ˈlaɪt jɪə,ˈlaɪt jɪr,一种测量宇宙距离的单位，等于光一年所走的距离，约9.46兆公里,C:\GTT\EnglishDB\Words\l\light-year.md
016204,problem-solving,n.,ˈprɒbləm.sɒlvɪŋ,ˈprɑː.bləm.sɑːl.vɪŋ,n.解决问题（的能力），处理问题（的方法）,C:\GTT\EnglishDB\Words\p\problem-solving.md
016205,para,,ˈpærə,ˈperə,前缀，表示\'旁边，辅助\'的意思；也可作为缩写，如降落伞（parachute）的缩写,C:\GTT\EnglishDB\Words\p\para.md
016206,warm-up,n.,wɔːm-ʌp,wɔrm-ʌp,"n.热身,准备活动",C:\GTT\EnglishDB\Words\w\warm-up.md
016207,hard-core,adj.,ˈhɑːd.kɔːr,ˈhɑrd.kɔr,adj.顽固的；坚定的；硬核的（尤指音乐或游戏等亚文化领域中的）,C:\GTT\EnglishDB\Words\h\hard-core.md
016208,impaired,adj.,ɪmˈpeəd,ɪmˈpɛrd,adj.受损的，受损害的；减弱的,C:\GTT\EnglishDB\Words\i\impaired.md
016209,dysfunctional,adj.,",dɪsfʌnˈkʃənl",",dɪsfʌnˈkʃənl",adj. 功能失调的；不正常的；无效的,C:\GTT\EnglishDB\Words\d\dysfunctional.md
016210,buyout,n.,ˈbaɪ.aʊt,ˈbaɪ.aʊt,n.买断；买断股份；一次性付款；买空产权。vt.买断；用资金买断或摆脱,C:\GTT\EnglishDB\Words\b\buyout.md
